# lang=ro
cat	floor (storey)
milcuiciune	mercy, generosity
milionist	millionaire
miniistorie	minihistory
semiagnostic	partially agnostic
semicalificat	semi-qualified
bagatâr	bogatyr
scăzalcă	indicator
ibrișimgiu	maker or seller of silk-thread
ibrișin	silk thread
iangângiu	arsonist
iangângiu	fireman
iabangiu	foreigner
mabeingiu	chamberlain
surecciu	cattle merchant
tamburagiu	tanbur player
tergimanlâc	translation
tertipat	order
tufecciu	rifleman in the princely guard during the Phanariote era
mofluzlâc	bankruptcy
mangealâc	ballista
hămailâu	amulet, talisman against spells or the evil eye
hargilâc	expense
harabagilâc	cartage, hauling
dovagiu	plaintiff, claimant
celibilâc	politeness
caraboia	green vitriol
curcănet	a flock of turkeys
femeiet	womankind
tâlhăret	thiefdom
trestiet	reed thicket
palachidă	concubine
panighir	a fair
parasimă	sign, emblem
parastisi	to play a role in a thatre play
paravalisi	to compare
paretisi	to abandon, to give up, to resign
parisie	presence
proedrie	first rank in a noble hierarchy
proferisi	to utter threats
navtichie	nautics, navigation
mateologhie	idle talk
lavriot	a monk living in a laura
lambicarisi	to distill
lambicarisi	to complicate
mursecătură	animal bite
petrecătură	funeral cortege
pistrelătură	splashing
pitulătură	hiding
pișătură	pissing, urination
pântecătură	abdominal bloating
pătrunsătură	penetration
pătătură	spot, stain
revărsătură	overflow
rămăsătură	remnant
scorțătură	fruit or vegetable rind
scovârdătură	cavity
scoțătură	prominence
sculătură	standing up, waking up
boieș	cowherd
bordiaș	hutter
bucfăraș	letter
buciucaș	flagbearer
bârfaș	gossiper
ciobănos	shepherdly
dunărică	Sabanejewia bulgarica
dunăriță	Sabanejewia bulgarica
codreț	foresty
curvăreț	womanizer
ipsosi	to plaster
insultarisi	to insult
duhovnici	to confess
giulgiui	to cover with a shroud
fărâmături	to crumble
gelăpi	to gobble up
fărâmi	to crumble
fărbui	to paint
feciori	to grow up
concertui	to concert
colibi	to shelter in a hut
pohodi	to walk
presustvie	court of law
mostoc	vertical board on a fishing boat, used to prevent fish from sliding into the bottom of the boat
reîndoi	to redouble
reîndruma	to reguide
redizolva	to redissolve
lăptoșit	turned into milk
lăptucit	slapped
intimizat	familiar
ionizat	ionized
internaționalizat	internationalized
intervievat	interviewed
interviat	interviewed
gâlcevit	quarrel
grațiat	pardoned
fărâmit	crumbled
pizda țigăncii	red dead-nettle
fășat	swaddled
ghidat	guided
garnisit	garnished
furniruit	veneered
fiscalizat	taxed
fișat	filed, archived
fierbântat	heated
expeduit	dispatched
amanetari	to pawn
prosăsie	flags and crosses used in a funeral procession
pură	mating season for cows
rusav	blond, red-haired
silță	snare
târsă	dwarf bulrush (Typha minima)
vidmă	witch
vizoc	minecart
văji	to balance an object
zorobi	to earn
zoroboc	earnings
șacrai	hypocrite
memhur	document bearing a seal
memuriet	office, appointment, mission
mermerei	marblelike
mertepea	order
descrețire	unfrowning
descruntare	unfrowning
descernire	stopping to wear black clothes for mourning
desceruire	unwaxing the floor
desfermecare	unspelling, removing of a spell
sictirisire	profanity
siropare	addition of syrup
sistisire	foundation
sloire	freezing
slugărire	servilism
slugărnicire	servilism
smochinire	shrivelling
smreduire	infection, contamination
ciulicoaie	loose woman
catalogiza	to catalog
cationiza	to cationize
eticiza	to ethicize
etniciza	to ethnicize
exotiza	to exoticize
dictatoriza	to make dictatorial
parodiza	to parody
hamletiza	to make Hamletian
sociologiza	to sociologize
subiectiviza	to subjectivize
superficializa	to superficialize
arhaiciza	to archaize
dispersitate	dispersibility
erotolog	erotologist
enigmatiza	to enigmatize
elzevir	Elzevir
inimoșește	courageously
evdemon	angel
everghesie	a good deed, public service
everghet	benefactor
eroman	erotomaniacal
eroman	erotomaniac
dalcălâci	special forces in the Ottoman army.
muhasebea	audit of state accounts
nacazlâc	painting
nacaș	painter
nahia	nahiyah
mușaverea	deliberation
munegim	astrologer
murdarlâc	dirt, filth
magaza	warehouse
samalâc	barn, hayloft
tamachiar	stingy
sporula	to spore
bașibuzuc	bashi-bazouk
caimacamlâc	the office of a kaymakam
calpacciu	maker or seller of calpacks
calpuzanlâc	fraud
calupciu	charlatan
gebegiu	cuirassier
hanlâc	khanship
peștiman	peshtemal
rachigiu	raki maker
sacatlâc	disability
sandaciu	boatman
selamlâc	selamlik
săgeac	eaves, the underside of a roof that extends beyond the external walls
teșrifat	ceremonial
tunesliu	Tunisian
sambechiu	a kind of vessel
reislâc	port authority
oracciu	reaper
muhaia	sucker
muhimaturi	ammunition
dextriniza	to dextrinize
dezanalfabetiza	to alphabetize
imnografie	hymnography
imnografic	hymnographical
lămâios	lemony
mociros	muddy
mocofănos	stupid
mocănos	boorish
luncos	floodplain
molcomire	lack of movement
gratargiu	griller, barbecuer
haramgiu	usurer
darabangiu	drummer
săpungiu	soapmaker
untdelemngiu	olive oil maker or seller
caucciu	laddle maker
ovelitoriu	humiliating
bozoaie	pagan goddess
murdăros	dirty
mestecănos	birchy, full of birches
locuincios	habitable
leșos	corpsy
legumos	vegetable-like
măscăros	obscene
naftalinos	naphthalenic
negelos	warty
nălbos	covered with mallow
oțeros	awful
pesăcos	sandy
pișcos	stinging
plăvos	whitefaced
rămțuros	shabby
toplicios	waterlogged
topsecos	poisoned
trufos	arrogant
mutfac	a sultan's or pasha's kitchen
molalâc	a mullah's jurisdiction
kilometrat	milestoned
legatuit	left as inheritance
inițializat	initialized
indemnizat	compensated
idioțit	idiotized
benguț	strange
bicașuț	pebble
albgardist	white guardsman
capron	polycaprolactam
caraiman	pocket
ceaină	teahouse
chircă	a small hoe
cnigă	register
comendirui	to command
osâmbri	to remunerate
peceti	to seal
ocni	to work in a mine
ocăcăi	to croak
odgoni	to moor a ship
mărunțeli	to cut up into small pieces
ghimirlie	hut, shanty, hovel
andăli	to set off, to start
astalâș	carpenter
bintătui	to punish
birtoc	real estate property
birșăgălui	to fine
boboană	spell, superstition
bobonoșag	spell
boitar	swineherd's help
bolonciag	insanity
bornut	snuff
boroștean	laurel
boroștean	lilac
borșică	juniper
caihă	stove
caisin	apricot
carfă	backrest
castei	castle
cealău	deceitful man
cepaș	wheel trail
chibăl	a unit of measurement
chimieș	bricklayer, mason
cimou	bundle
cincădi	to hesitate
ciobârlac	ladle
ciurcă	chicken
cucoriță	maize
cuhuci	to cough
curvușag	whoredom
cutăi	to rummage
gilălui	to hate
mâșnic	flour bin, crate
năplat	rim on a wooden wheel
plevilă	corncockle ()
ponudă	party given at the birth of a child
prăsad	grafted
prăsad	seedling
rubă	piece of linen
samovile	fairy
albiniu	whitish
blonziu	blondish
caisiu	apricot-colored
chimioniu	the color of cumin, blackish
colbiu	dusty
criniu	lily-white
cănăriu	canary
căpșuniu	strawberry
cărbuniu	anthracite
cărniu	flesh
cărunțiu	grey-haired
micșuniu	violet
smolițiu	dark-skinned
smântâniu	having the color of sour cream
scorușiu	serviceberry-colored
urziciu	having the color of nettle
tineriu	youngish
răzvechi	very old
sabineancă	Sabine woman
preacredincios	very pious
iudeiancă	Jewish woman
ierboaică	sunflower
idoloaică	female devil
hârsenie	avarice
huluberniță	dovecote
hulubnic	dovecote
hidrobiologic	hydrobiological
hidrogenerator	hydro generator
hipersceptic	very skeptical
urechiușcă	earwig
povestic	fantastic
porcuș	gudgeon ()
poetifica	to poetize
marșalâc	marshal
oberec	oberek
ustavă	order
sfarnic	pagan altar
seceruș	reaping, harvest
secerăciune	reaping
scârbotenie	loathsomeness
scârbotenie	a loathsome thing
lăpturiu	milk-white
lăptuș	milt, soft roe
lăcrămicios	teary
corboaică	female raven
câinoaică	female dog
jevroaică	bitch
peștoaică	female fish
peștoaică	female pimp
pupezoaică	whore
pârșoaică	female dormouse
rățoaică	female duck
anuelnic	annual
botelnic	muzzle
chiverniselnic	thrifty, frugal, who saves money
cinstelnic	honorable
muierelnic	lecherous
subprovincie	subprovince
subtemă	subtheme
subperioadă	subperiod
subexpus	underexposed
stângăreț	left-handed
contradicțional	contradictory
contralumină	backlighting
contrapregătire	counterpreparation
contrapuncta	to counterpoint
convenționalizat	conventionalized
convoia	to convoy
copilame	childkind
colhozian	kolkhoznik
colhozian	kolkhoznik
colibnic	hermit
inginerlâc	engineering
hârțoală	scuffle
hârtier	papermaker
albier	trough maker
bricer	knifegrinder
chirier	tenant
coliver	table on which the koliva is placed
câiner	dog breeder
drojdier	drunkard
lămâier	lemon seller
funier	ropemaker
jucărier	toymaker
jucărier	toyseller
omorâciune	killing
măsurăciune	measuring
spălăciune	washing
trădăciune	betrayal
îngrozăciune	terror
scârbiciune	disgust
vinovățicios	guilty
vindecăcios	curable
vindecământ	recovery, healing
vicecrai	viceroy
vicecomitat	viscounty
pizmălui	to hate, to envy
pierzăciune	destruction
ciupercat	mushroom-shaped
inobediență	disobedience
huhureza	to howl, to hoot
gâscănie	goose farm
fântânier	welldigger
futăcios	fuck boy
futălău	fuck boy
chirăi	to yell
Cartagina	Carthage
adevăsi	to waste, to spend
aghiaș	spread
aghiaș	straw bedding on a field
aghieu	cannon
aleaneș	enemy
alenzui	to contradict
aletiu	something near
alișpan	viscount
astiuz	tool, instrument
boroslan	lilac
budugări	to rummage
buduli	to rummage
cușchebap	kebab
câscâci	windmill brake
câtlâc	scarcity
darușifa	mental hospital
-oiu	suffix forming many Romanian surnames
-oaia	suffix forming many feminine Romanian surnames
-easa	suffix forming placenames and feminine surnames
zurnazen	zurna player
zurbalâu	rebel
zurbalâc	rebellion
zingirliu	a type of Ottoman gold coin
Pentateuh	Pentateuch
zariflâc	elegance
zabitlâc	administration, government
tescheregiu	the name given to the private secretary of a vizier or grand vizier
tenzuh	a perfumed paste
teftergiu	treasurer
săferdea	beating
stambol	a type of Ottoman gold coin
sichimea	indifference
sichimea	good-for-nothing person
sarisabri	aloe extract
saivan	winter shelter for sheep
sadrazan	grand vizier
oturacliu	stable
ogeacliu	an Ottoman soldier
misarăș	butcher
moroc	carrot
motiogli	to babble
mozdon	locomotive
meiris	brave
pitanotită	doubt
paranomie	lawlessness
ostrac	shell
ostrac	shard
lucanică	loukaniko, sausage
lăgărie	root wad
lahtarisi	to wish
lahtară	burning desire
lacherdă	lakerda, fish preserved with salt
lafire	spoils of war
isihie	calm, rest, quiet
isterisi	to dispossess
ipodiacon	subdeacon
evmenie	benevolence
exarhie	exarchy
hărăcsi	to let blood
arhidiaconie	archdeaconry
chinoviarh	cenobiarch
dosolipsie	balance of payments
giuvaiericale	jewels
da la buci	to fuck
gazofilachie	a place where a treasure is kept
exofliticon	receipt
efevrimă	invention
ciulineț	sapropel, organic sediment
moiciune	soaking
năsliciune	desire
osebiciune	isolation
păliciune	intense heat
părăsiciune	abandonment
răpiciune	kidnapping
seteciune	drought
smericiune	humility
sperieciune	scare
tâmpinăciune	meeting
îmbrăcăciune	clothing
îmbătăciune	epilepsy
încovoiciune	flexibility
îndumnezăiciune	divinization
adunăciune	gathering
asupriciune	oppression
bărăciune	pond, swamp
cuminecăciune	communion
cumpliciune	cruelty
flămănzăciune	famine
lipiciune	gluing
milostivniciune	offering to God
orbiciune	blindness
orbăcăciune	fumbling
îndoiciune	bend, fold
horincie	distillery
hârtierie	paper mill
jucătorie	gambling house
jăbrăcie	vileness
licărie	gleam
lingurărie	spoonmaker's shop
lipicioșie	viscosity
ieftinie	pity, mercy
misărie	slaughterhouse
sărăcăcie	poverty
zburdălnicie	liveliness
văsălie	vassalage
unsuroșie	greasiness
sulegezie	slenderness
superintendenție	superintendency
surăție	sorority
chinezism	Chinese-made object
crizism	crisis theory
carbonarism	Carbonarism
enarmonism	enharmony
htonism	a chthonic character
vieroaică	female wild boar
vinoaică	low-quality wine
vizitoaică	a coachman's wife
roștung	military equipment
silvaner	Silvaner
smectită	smectite
telegraficesc	telegraphic
înțugui	to denounce
prealăuda	to exalt, to praise
polieleu	polyeleos
peveț	cantor
pozuni	to recognize
pășunărie	pasture
rahagerie	Turkish delight shop
salcâmărie	black locust grove
spionărie	spying
stejărărie	oakwood
preuscat	very dry
poștări	to send by post
velarizat	velarized
viermuit	wormy
viermănoșat	wormy
vitalizat	vitalized
vitaminizat	vitaminized, with added vitamins
duhăit	having an unpleasant smell
dolarizat	dollarized
domiciliat	who lives at a certain address
dezasfaltat	deasphalted
cerătură	request
chelșugui	to spend
betejitură	infirmity
cotoiesc	catty
cârcălitură	incomplete roasting
câtețime	quantity, amount
călăritură	cavalcade
făgăriș	beechwood
lăbănat	having big feet
potcapigiu	monk's hat maker
practicist	practicalist
procleciune	anathema
teglărie	brick factory
teglă	brick
telechi	cultivated land
telechim	land register
tarță	snuffbox, cigarette box
techergheu	a good-for-nothing
rândunelă	swallow
sabatilie	sabadilla ()
secentist	seventeenth-century scholar or artist
secentist	seventeenth-century scholar or artist
sembianță	appearance
rodanță	cringle
portament	portamento
pasatrice	pulper
pasacalie	passacaglia
italieniza	to Italianize
conlocutor	interlocutor
jurătură	profanity
pleși	to become bald
primări	to work as mayor
păstrămi	to make pastrami
adăugat	added, glued, annexed
centrifugat	centrifuged
cicatricit	scarred
cherpedin	pincers
chivirgic	a sheep breed from Dobruja
chișlec	cellar
chișmiș	raisins
ciumlec	a kind of vegetable stew
dulbun	coming from afar
eglengea	party, amusement
ehlierz	honest
elchegiu	sail handler
emniet	security, safety
endasea	a unit of measure
formagiu	baker
ghiojgorea	seeing with one's own eyes
ghioldaș	comrade
ghiumbruc	customs
ghiviziu	dark red or purple
frențușit	syphilitic
frichinit	rubbed
frunzărit	skimmed
fumegat	smoky
furgăsit	stolen
fărâmicat	crumbled
grângoașă	dung-rolling beetle (Gymnopleurus mopsus)
guberniță	common cold
cucurigui	to make a cock-a-doodle-doo
potârnogi	to hit with the fists
povăți	to give advice
enghiureșal	angora shawl
galiongiu	galiongee, sailor
marpici	hookah tube
libadea	a long men's coat
lulegiu	pipe seller
mabein	audience hall of the sultan
lagumgiu	miner
lagumgiu	sapper
lahaniu	green
lagiverde	olive , azure
isnaflâc	the craft of a guildsman
ififliu	penniless, broke
ilhac	annexation
imurluc	a cloak
inacciu	stubborn
surgunlâc	exile
tefterhanea	finance archive
tejniș	metaphor
telpizlic	fraud, trickery
turluc	burrow
viranea	ruin of a burnt building
vizinea	scales for measuring gold
espadă	a kind of sword
fizical	physical
flatație	flattering
flămânzenie	hunger
flămânjune	hunger, starvation
fitomorf	phytomorphic
fibrobeton	fibrocement
fericăciune	happiness
fenofază	phenophase
fericință	happiness
feritic	ferritic
excremență	excrement
ex-președinte	ex-president
eurobancă	Eurobank
eritrozină	erythrosine
ergociclu	ergocycle
epifizan	epiphyseal
elizeic	Elysian
dumnezeiasă	goddess
drobișor	dyer's greenweed ()
donchihotic	quixotic
dobitocire	stupidification
directitudine	directness
diabetolog	diabetologist
desflori	to unflower
depoetiza	to depoetize
cuptioruș	summer kitchen
cugetăreț	thinking, which thinks
crâncinătate	dreadfulness
cristalogenic	crystallogenic
corașliu	joyful
comembru	comember
codeținător	co-owning
codeținător	co-owner
codaie	long tail
ultraluxos	ultraluxurious
ultraoptimist	ultraoptimistic
unilateralizare	unilateralization
unisepal	monosepalous
uraganic	hurricanic
velocipedistic	velocipedic
venețiancă	Venetian woman
vechietate	oldness
varvarlâc	barbarity
verziciune	greenness
verziciune	vegetable
vest-german	West German
vest-german	a West German
vârtucios	vigorous
văduvoancă	widow
zaharicos	sugary
zamolxic	Zalmoxian
zeelandez	Zeelandic
zeelandez	a person from Zeeland
zglobenie	frolicking
zglobiciune	frolicking
șerbetelniță	a pot for boiling the sherbet
șpagagiu	briber
șvițerancă	Swiss woman
suprastat	suprastate, superstate
supraînsămânța	to overseed
supratimp	overtime
suprazistent	superresistant
sămănăciune	resemblance
tacaciu	surly
săros	salty
exopeptidază	exopeptidase
extraurban	suburban
facsimila	to facsimile
fazanier	pheasant farmer
fecundabil	fecundable, fertilizable
farmacofilie	pharmacophilia
farmacofobie	pharmacophobia
exofag	exophagic
exoenzimă	exoenzyme
demicilindru	semicylinder
deioniza	to deionize
deionizant	deionizing
dardanian	Dardanian
dezaharifica	to desugar
dezarginta	to desilver
dezarămi	to remove a copper plate
dezarămire	removal of a copper plate
boierișag	a boyar's property
bolândatic	a bit crazy
boiarnic	boyar
bogătancă	a rich woman
boiamă	many oxen
ghioslomea	a type of fried cake
tojera	to cut off the top of a tree
tolbar	peddler
stropșitoare	press
lassalleanism	Lassallism
lastex	Lastex
poltronism	cowardice
exonartex	exonarthex
butlan	a small barrel
butnăresc	cooper's
butnări	to work as a cooper
butnărit	coopering
butnărire	coopering
butculiță	sneezewort ()
butcărie	carriage shed
corăitură	croak of a raven
corăit	croak of a raven
cosiriște	place where grass has been mowed
cositorar	a tinsmith
hermenție	devastation
păgânitură	paganness
păgânean	pagan
păgânatic	pagan
păgubitură	perdition
păiușan	field brome ()
pălincie	palinka distillery
pălincărie	palinka distillery
păltinăriște	sycamore maple grove
pălăvrăgitură	chatter
pălăvăcăi	to gabble
zicător	eloquent
zicător	sayer
coachizitor	joint buyer
coarmator	co-owner of a ship
cocăitor	dozing off
cocăitor	a bird making the noise of a hen
fruntășime	elite
frâncie	French language
frânghierie	ropemaker's shop
fughetă	fughetta
pseudomilitar	pseudomilitary
pseudoistoric	pseudohistorian
pseudovaloare	pseudovalue
stavropighiacesc	stauropegial
stejăriu	having the color of the oak leaves
tișlărie	carpentry
tișturică	rootstock
tocmași	exactly
tocatină	toccatina
ineranță	inerrancy
italofil	Italophile
chiohăi	to cough
cepătoare	beginning, start
cercustare	circumstance
cheaș	nickname
chesmea	paving stone
chezășluire	guarantee
chicotitură	chuckle
chidemonie	protection
chihaială	chuckle
chilărie	pantry
chilăvie	hernia
chilșug	baldness
chindercă	match
chindisitură	embroidery
chinologhie	communication
chiombie	myopia
chirigă	pulley
chirpidel	pliers
chistosele	aspic, meat jelly
chitanțar	receipt book
chisargiu	carpenter
chiverie	comradeship
chivuclion	baldaquin
chizeșluitură	guarantee
chișug	arrangement
cicnire	death
cict	buckle
cicărică	gratiole
cifai	gravel
cilimină	pot marigold
cimurire	plastering
cinematografiere	filming
cinsteșie	humaneness, kindness
cănată	cup, mug
petecătoare	hindrance, obstacle
peșcheșlâc	tribute paid by Wallachia and Moldavia to the Ottoman Empire, recognizing Ottoman suzerainty
pețanie	engagement
piceaică	buttonhole
picolică	busgirl
pictoră	female painter
picureală	drizzle
picurătoare	pipette
pifănie	infantry
pipagiu	smoker
piscoșag	dirt, filth, grime
pistonaj	pistoning
pistricioaie	freckle
pitpălăciță	female quail
pitușcar	baker
pitușcărie	bakery
pișpec	bishop
popândea	scarecrow
porgață	poison, venom
poroboacă	little girl
porobocie	childhood
porumbelniță	dovecote
porumboaică	female dove
posadnicie	concubinage
posleduire	collation
posometru	exposure meter
posăială	vaccination
pozmidie	gooseberry
prandidă	match
prasadeală	dysentery
pravilnicie	legality
prealegere	preference, liking
prealăudare	exaltation
preamâncare	gorging
prechezășuire	guarantee
curpeniș	thicket of climbing plants
curvaș	whoremonger
curvărit	fornication
curățală	cleaning
cuscrior	lungwort
custozie	custody
custurar	thief
cutcudețătură	cackle
cutez	fearlessness
cuvântătorie	elocution
cuzniție	house
cușmar	hatter, capper, capmaker
cuștiubeț	niche, recess, alcove
câinoșie	hardheartedness
câlbaș	a kind of sausage
câlfă	old woman
câmpușel	clearing, glade
cânepiș	hemp field or plot
cârnoseală	torture, pain
căcădară	hawthorn
căcărea	trifle
căcăstoare	toilet, latrine
legumărit	vegetable farming
leucocitemie	leukemia
liapă	mouth
liberaliciune	liberty, freedom
liceist	high schooler, high school student
liliacel	dame's rocket, dame's violet
lilialitate	purity
liticaș	minnow
loajă	lie; deception
locbaităl	chisel
locopaznic	custodian
locținer	lieutenant
logodan	suitor
hrentuitură	tiredness, fatigue, weariness
huimă	a fat person
hurduitură	rumble
hârgan	watermelon
hârjetar	gamester, gambler
hârtică	tuberculosis
hămușală	dampness
hăpălig	stake
hărgolaș	salaried
hărmălioacă	trouble, distress
hărăoaie	property limit
hărățag	provocation
jemanfișism	indifference
jidovcă	Jewish woman
jigluitură	balustrade
jilău	plane
jitcă	a Jew
junghet	smile
jupăitură	beating, punching
jurățel	subprefect
laidău	comrade
laiotă	crowd
langă	flame
lanțag	chain
rătăceală	error
răzdanie	donation
răzilet	vileness
răzimar	back of a chair
răzmamă	great-grandmother
rășchirare	dispersal
salaică	sickle
saligenol	saligenin
sandâc	intention, intent, purpose
sangealâc	Ottoman flag
scatină	shark
schirlopan	tall man
scorbelitură	scribble
sculăraie	tools collectively
scârbelniță	loathsomeness
selecționar	chooser
semenință	resemblance, similarity, similitude
semisomn	somnolence, sleepiness
semitist	Semitic studies scholar
serbezie	pallor
smicurătură	crumb
sminticie	insanity
smocurel	small tuft
smreduială	contamination
sobrichet	sobriquet
socolnic	falconer
sondator	driller
soneză	vowel
sotir	savior
sotiză	stupidity
sovată	trough
spațiozitate	spatiality
spirobacterie	spirochete
spițerier	pharmacist
sprintinătate	agility
spurcăilă	devil
spuzenie	crowd
spuzime	crowd
staderă	balance, scales
sterpitudine	barrenness
stipendiere	subsidization
urdelniță	tool used to mix boiling whey
urdinuș	diarrhea
urineală	confusion
urloier	chimney sweep
urmețeală	confusion
ursuzie	bad luck
utalmaz	support, assistance, aid
târmoacă	mud mixed with snow
târnositură	consecration
târomeală	languor
târșenire	hoeing
târșoneală	procrastination
tăblar	contributor
tăblaș	judge
tăgădat	denial
tăgădaș	denial
tăifăsuială	chatter
tălaie	family
tălbăcitură	entanglement
tălmăciar	translator
tămâietură	incensing
tămândare	adjournment
tămârjac	stable
tămădaș	provenance
tămăduință	healing
tănaci	council
tărchilă	grape pomace
tărghelaș	hearing, trial
tăriș	thicket
tărnicer	saddler, saddle maker
tărtălog	thistle
tărtăroi	devil
tășcare	deceit
tășcătură	fraud
ucanel	devil
ucigărie	murder
ugurlâc	luck; good fortune
uimeală	wonder, amazement
uimăceală	confusion
uimăcire	confusion
uiudum	powdery mildew
ujubire	constipation
ujubit	constipation
ujuraș	usurer, moneylender
ulmiș	an elm forest
ulmuș	uvula
ulmărie	an elm forest
uluitură	confession
tâlhărire	robbery
tâlhărșag	robbery
târguitură	goods, merchandise
tăgășire	cleaning
tăinit	chat, gossip
tălălăială	chatter
încorăgitură	turning, bend
încredințeală	confirmation
încrezământ	faith, belief, creed
încrezătură	faith, belief, creed
încrucișător	cruiser
încuială	constipation
încălare	fattening
încălțelar	shoemaker
îndurăminte	pity, compassion, mercy
îndurătate	pity, compassion, mercy
îndârjie	stubbornness
înfială	adoption
înflorită	adornment, decoration, ornament
înflămânzire	starvation
înfricare	fear, terror, fright
înghicitoare	riddle
îngreuială	oppression
îngropanie	funeral
îngropelniță	cemetery
îngropătură	funeral
îngrășață	fattening
îngurzeală	wrinkling
îngâmfeală	vanity
îngălbejeală	pallor
înhumat	funeral
înjosorire	humiliation
înjugătură	yoking
înmiasmare	fragrance
înminunare	wonder
înmormântăciune	funeral
înmugureală	budding
înnovătură	innovation
înreiterare	repetition
înrărit	thinning
înstărire	enrichment
însuriș	marrying
însăgetătură	a bowshot
însănătățire	recovery
însăpunire	soaping
însărăcire	impoverishment
întorsător	whirlpool, eddy, vortex
întortăciune	stubbornness
întorțiel	dodder
întrec	competition
întrecământ	remnant, remainder
întregiune	wholeness, integrity
întrelinie	interline
întronație	enthronement
întrupurăciune	incarnation
întrântire	slamming
întrămătură	consolidation
întunerecare	darkening
întâiere	priority
întăință	priority
învechime	oldness, antiquity, ancientness
învinceală	victory
învitătură	provocation
învoințare	permission, consent
învârtelniță	honeysuckle
învârtoșitură	solidification
învălmășie	confusion
învălmășitură	confusion
șaflic	bucket, pail
șaină	a wooden bucket used to get water from a well
șalang	tassel
șaltă	casque, helmet
șaltău	swamp
șalupier	boatsman
comisaș	policeman
comoviță	grape pomace
composesor	co-owner
comernic	tenant
arienie	arianism
arinet	alder grove
asemenință	resemblance, similarity, similitude
astrucătoare	cover, something that covers
autoaglomerare	autoagglutination
babaie	father
bacalâm	promise
bananau	cemetery
bandraburcă	potato
baraboiște	potato field
barabă	thief
barbarizat	barbarization
bascea	garden
batjocurie	derision, ridicule, mocking
bedaș	a poor person
beleajă	simple-minded, stupid
benchetuială	party, feast, celebration
bezglasie	muteness
bezmetecie	confusion
bețârc	county
bidă	joke, jest
binefaptă	benefaction
biosime	fertility
blajinie	gentleness, mildness, softheartedness, meekness
blojeritor	slanderer
blojăritură	fabrication, fable
bluzar	worker
blănăreală	beating, punching
bobotire	inflammation
bontănire	hammering
bonzălău	horsefly, gadfly
borabăr	tramp
borană	storm, tempest
borbolină	club, bludgeon
boreală	vomiting
borfar	thief
borniță	a hovel
boschină	grape pomace
bosconiță	witch
bosolire	cramming, stuffing
botoșare	trouble, vexation
boșcaș	groschen
bricinăriță	old woman
brobodealnic	kerchief
bucherire	reading syllable by syllable
budugărire	rummage
buduhaliță	monster
buhalniță	fog, mist
buiecie	vanity
bulugheană	potato
bumburea	small swelling, abscess
bunțăr	tramp
burugă	waterfall
burăitoare	waterfall
butoană	barrel
bâhtisire	boredom
bârlugă	stone loach
bădoacă	stick, rod
băhanie	monster
ducoaică	evil spirit
grampir	potato
grăbnicie	haste
gulimos	plaster
guliubaie	wild beast
guză	wound
gârghiță	throat, larynx
găgăuț	Gagauz
gălbănariță	jaundice, icterus
hagimă	chive
haieu	boat, ship
halușcă	dumpling
hamzău	horse
hangău	teenager
harabagie	cartage, hauling
harhalău	a common cold
harhăr	a Jew, Hebrew
hateș	neighboring
hematoterapie	hemotherapy
hemiplexie	hemiplegia
hlipăt	sob, sigh
preveghetură	watching
prevestaș	herald, announcer
prevoroavă	preface
prevorovire	preface
prezisă	divination
preștire	provision
pricăjiciune	defilement
pridăditor	traitor
prihodeală	ghost, phantom, spectre
pristerie	Eucharist
priteală	warning
privașcă	baldness
probază	reprimand
proceselnic	litigious person
procopsință	prosperity
procuvântare	preface
proditură	foreigner, stranger
prodosire	betrayal
prodositor	traitor
proerisit	benevolence
profecticie	dowry
promptitate	promptness
pronumire	appellation
proorismos	destiny
propeliște	interdiction
prorocenie	divination
proshimă	pretense
prostasie	protection
prostitută	prostitute
protejator	protector
prubăleală	try, attempt
pruglă	snare
pruncenie	childhood
prădanie	plunder
prăvăluc	slope, slant
prăștilă	shingle
psaltichieș	cantor
pseudoafix	affixoid
publicism	publishing
puchineală	carefulness
puhăială	heatwave
puire	multiplication
pulearț	wallet
pulihoc	tadpole
pulsograf	sphygmograph
pungășire	theft
puritoare	dam, barrage
pururelnicie	eternity
pustietură	desolation
putrăganie	rottenness
pușcală	toy gun
pușlanie	vagrancy
puțcă	sledgehammer
pâhă	pride
păcătuință	sinfulness
pădurareș	forester
pălmășer	landless peasant, agricultural worker
pălăială	chatter
pălăit	chatter
păorime	peasantry; the totality of peasants
păpucarăș	shoemaker
păpușoină	maize field
păpușorniță	maize field
păracă	hoarfrost
părită	sling
părtean	partisan
părtășire	participle
păscătură	pasture
pătriță	quarter, fourth
păujeală	wellbeing, prosperity
păștiune	pasture
raclare	scraping
reedifîcare	reconstruction
reflexivism	reflexivity
reglisă	liquorice
reparatură	repair
repicaj	transplantation
respiriu	leisure, free time
resumă	summary
reteveist	brawler
retretă	withdrawal
revestire	dressing
reștafel	wallet
rețe	lace, embroidery
ricanare	sneer
ricanat	sneer
rindelar	planer
rindire	planing
risipiciune	waste
ritorie	elocution
robitură	slavery
rocoș	rebellion
rocoșan	rebel
rocoșeală	rebellion
rocoșelnic	rebel
rocoșenie	rebellion
rocoșire	rebellion
rocoșitură	rebellion
rogojea	star-of-Bethlehem
rohot	noise
roitură	tassel
romanism	Romanness
rospiscă	receipt
rostime	understanding
rostoponi	monks cress ()
rotunjiune	roundness
roșcovar	thornless honey locust ()
răboleală	shouting
răbălaș	robbery
răcăbuș	carter
răcănit	croaking, ribbit
rădiac	small and young forest
